tzdata 2023c-2
uchardet 0.0.8-2
udisks2 2.9.4-4
unibilium 2.1.1-1
unixodbc 2.3.12-1
unrar 1:6.2.10-1
unzip 6.0-19
upower 1.90.2-1
urlscan 1.0.1-1
usbmuxd 1.1.1-3
usbutils 015-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
ventoy-bin 1.0.95-1
vhs 0.6.0-1
vid.stab 1.1.1-1
vim 9.0.1848-1
vim-runtime 9.0.1848-1
virtualbox 7.0.10-2
virtualbox-host-dkms 7.0.10-2
vmaf 2.3.1-1
vnstat 2.11-1
volume_key 0.3.12-8
volumeicon 0.5.1-5
vte-common 0.72.2-2
vte3 0.72.2-2
vulkan-headers 1:1.3.262-1
vulkan-icd-loader 1.3.255-1
w3m 0.5.3.git20230121_1-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webkit2gtk 2.40.5-2
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wireless_tools 30.pre9-3
woff2 1.0.2-4
wpebackend-fdo 1.14.2-1
wxwidgets-common 3.2.2.1-2
wxwidgets-gtk3 3.2.2.1-2
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapian-core 1:1.4.23-1
xapp 2.6.1-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xcompmgr 1.1.9-1
xdg-dbus-proxy 0.1.5-1
xdg-utils 1.1.3+45+g301a1a4-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xf86-video-vesa 2.6.0-1
xfce4-notifyd 0.8.2-1
xfce4-power-manager 4.18.2-1
xfconf 4.18.1-2
xh 0.18.0-1
xkeyboard-config 2.39-1
xmlsec 1.2.37-1
xorg-appres 1.0.6-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.0-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-server-xephyr 21.1.8-2
xorg-server-xnest 21.1.8-2
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.0-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xscreensaver 6.07-2
xsel 1.2.1-1
xsv 0.13.0-2
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.4-1
yajl 2.1.0-5
yarn 1.22.19-1
zathura 0.5.2-2
zathura-pdf-mupdf 0.4.0-3
zbar 0.23.90-3
zenity 3.44.2-1
zimg 3.0.5-1
zip 3.0-10
zita-convolver 4.0.3-3
zlib 1:1.3-1
zoxide 0.9.2-1
zsh 5.9-4
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
