aic94xx-firmware 30-10
unzip 6.0-20
upd72020x-fw 1:1.0.0-2
upower 1.90.4-1
usbutils 017-1
vim 9.1.0380-1
vimb 3.7.0-1
virtualbox 7.0.16-2
virtualbox-host-dkms 7.0.16-2
vlc 3.0.20-8
vulkan-intel 1:24.0.6-2
wd719x-firmware 1-7
webkit2gtk 2.44.1-1
wget 1.24.5-1
wireguard-tools 1.0.20210914-2
wireless_tools 30.pre9-3
wmctrl 1.07-6
xclicker-debug 1.5.0-1
xclip 0.13-4
xdo 0.5.7-2
xf86-video-vesa 2.6.0-2
xh 0.22.0-1
xorg-server 21.1.13-1
xorg-server-devel 21.1.13-1
xorg-server-xephyr 21.1.13-1
xorg-xev 1.2.6-1
xorg-xinit 1.4.2-1
xorg-xrandr 1.5.2-1
yt-dlp 2024.04.09-2
zathura 0.5.5-2
zathura-pdf-mupdf 0.4.1-19
zola 0.18.0-2
zoxide 0.9.4-2
zsh 5.9-5
