bacon v3.22.0
bacon-ls v0.29.0
basalt-tui v0.12.4
but v0.0.0
cargo-audit v0.22.1
cargo-bloat v0.12.1
cargo-expand v1.0.121
cargo-generate v0.23.8
cargo-udeps v0.1.61
cargo-update v20.0.0
cargo-watch v8.5.3
cl-wordle v0.4.0
dioxus-cli v0.7.7
flamegraph v0.6.12
license-generator v1.3.0
loco v0.16.3
ncopds v0.1.0
sea-orm-cli v1.1.20
sqlx-cli v0.8.6
term-transcript-cli v0.4.0
trunk v0.21.14
uiua v0.18.1
wasm-pack v0.14.0
wasm-tools v1.248.0
workmux v0.1.200
