aic94xx-firmware 30-10
ast-firmware 501-1
droidcam-git v2.1.3.r4.g1d09ede-1
fjira-bin 1.4.9-1
janet-lang 1.39.1-2
mkinitcpio-firmware 1.6.0-1
mullvad-vpn-bin 2025.9-1
paru 2.1.0-1
paru-debug 2.1.0-1
taskopen 2.0.2-2
upd72020x-fw 1:1.0.0-3
v4l2loopback-dc-dkms-git v2.1.3.r4.g1d09ede-1
wd719x-firmware 1-9
xclicker 1.5.1-1
