bacon v3.22.0
bacon-ls v0.26.0
cargo-audit v0.22.0
cargo-bloat v0.12.1
cargo-expand v1.0.119
cargo-generate v0.23.7
cargo-udeps v0.1.60
cargo-update v18.0.0
cargo-watch v8.5.3
cl-wordle v0.4.0
flamegraph v0.6.11
license-generator v1.3.0
loco v0.16.3
ncopds v0.1.0
sea-orm-cli v1.1.19
sqlx-cli v0.8.6
term-transcript-cli v0.4.0
uiua v0.17.2
workmux v0.1.100
