aic94xx-firmware 30-10
ast-firmware 501-1
aura-bin 4.1.0-1
droidcam-git v2.1.3.r4.g1d09ede-1
envycontrol 3.5.2-1
hyprdynamicmonitors-bin 1.4.0-1
janet-lang 1.40.1-1
minecraft-launcher 1:2.1.3-3
mkinitcpio-firmware 1.6.0-1
mullvad-vpn-bin 2025.14-1
paru 2.1.0-2.1
paru-debug 2.1.0-2.1
rose-pine-hyprcursor v0.3.2.r0.d2c0e680-1
taskopen 2.0.2-2
upd72020x-fw 1:1.0.0-3
wd719x-firmware 1-9
xclicker 1.5.1-1
